filename,width,height,class,xmin,ymin,xmax,ymax
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,231,61,251,85
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,211,68,232,96
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,185,70,206,101
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,164,75,181,107
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,138,81,163,113
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,230,97,266,135
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,187,105,217,144
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,158,109,191,148
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,124,124,152,152
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,103,129,127,166
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,192,173,227,209
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,245,164,266,192
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,136,201,158,225
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Tidak Sehat,254,196,273,222
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,225,204,254,238
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,157,224,189,263
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,173,259,214,300
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,241,236,273,277
kubis-3_png.rf.fdae05a9b04f1a83cbdace1687b66f60.jpg,640,640,Sehat,270,256,306,303
